,Unnamed: 0,overall,verified,asin,reviewText
2753165,12473447,3,False,B00N462AQE,The camera is absolutely perfect for me. Everything with the exception of the Wide Angle / Macro and Telephoto lens worked. The adapters included for these to fit a Canon EF camera were too big or too small. Big dissapointment.
2753166,12473448,5,True,B00N462AQE,My daughter loves it!  It was everything she wanted and more!
2753167,12473449,4,True,B00N462AQE,The camera is fantastic. All the extra accessories are low quality.
2753168,12473450,5,True,B00N462AQE,"very nice camera, we are very happy we chose the t5i, and also we up also upgraded to the 18-135 lens."
2753169,12473451,5,True,B00N462AQE,Great package deal for those entering the world of more than point and shoot!
2753170,12473452,5,True,B00N462AQE,Enjoying my new Camera!
2753171,12473453,5,True,B00N462AQE,"I was hesitant to order from this seller due to past reviews that indicated the products in the package were not Polaroid brand. But I took a gamble and it paid off. Everything in the package was exactly as described. My wife was extremely happy. As someone who is brand new to photography, this is a great starter set, containing everything she will need to learn the trade. Feel free to ping me with questions."
2753172,12473454,4,True,B00N462AQE,EXCELENTE PRODUCTS
2753173,12473455,2,True,B00N462AQE,It came with all these lenses but it's a canon camera and Polaroid lens are not fitting on it
2753174,12473456,5,True,B00N462AQE,just as described not all products matched but everything stated did come it just might not have been the same brand.
2753175,12473457,4,True,B00N462AQE,"The camera is great and works well.  Some of the accessories don't fit the camera, like the flash.  Over all, it's still a decent price and it was delivered quickly."
2753176,12473458,5,True,B00N462AQE,"Great camera, all accessories came as they supposed, everything Polaroid brand and fits the camera."
2753177,12473459,5,True,B00N462AQE,"For everything I got this is a really good value.  Not everything is name brand, but so far everything works together really well.  I am very happy with this camera and every piece of the set I have used!!! I would recommend this to a friend."
2753178,12473460,4,True,B00N462AQE,"Great camera! A few accessories are unnecessary and probably will never be used, but overall I'm very happy with the camera!"
2753179,12473461,5,True,B00N462AQE,It was a steal. I shoot music videos with it. I shoot events. Its great i just need extra batteries.
2753180,12473462,5,True,B00N462AQE,The Canon EOS REbel T5i camera is an excellent addition to the field of photography...easy to use with professional results.
2753181,12473463,5,True,B00N462AQE,Great camera. It arrived on time with all the accessories showed in the picture. Highly recommended!
2753182,12473464,5,True,B00N462AQE,"I loved it!!!! Thanks Tom, for everything!!!! Everything came exactly as described!!!"
2753183,12473465,5,True,B00N462AQE,Camera is great. Brand new in the box. All th extras made it worth it to buy on Amazon.
2753184,12473466,5,True,B00N462AQE,"Camera and lenses are great, some of the accessories and cheap and of little value, makes the package look better than it really was."
2753185,12473467,5,True,B00N462AQE,Every in the kit came - as ordered.  We use this camera extensively and it is great
2753186,12473468,5,True,B00N462AQE,i compared to other cameras of similar cost . i  found the T5i was a better buy . i used it for our vacation to mt Rushmore .. and the pictures are professional quality . and i'm not a professional.but over all i recamend it .
2753187,12473469,4,False,B00N462AQE,"The 3 extra lenses and filters DO NOT fit the camera. However for the price, all of the extras made up for this. ugh, oh well"
2753188,12473470,3,True,B00N462AQE,"The Camera actually gets a 4......The camera is great, takes excellent pics and i love the EOS utility, the cons are listed below.

The bundle items are pretty much cheap junk to just fill and fluff!!!!! I am a novice photographer and the T5I is overkill for what I need. I bought the bundle because it seemed like a good deal.....the majority of the items in the bundle are cheap junk and just a mix or miss-match of Hodge Podge assortment of ""non-Canon"" items. Memory chips.....too small, tri pods......very cheap flimsy junk, lens cleaning kit....cheap junk, camera case....too small (had to buy a larger one), sd to usb convertor.... already have 2 or 3.....plus every computer already has one, external flash......camera already has a sufficient flash, filters.......ehh.....might be useful, remote control.....haven't used it yet but will probably be very useful. So...... i probably should have just bought the camera, remote control, larger bag, I did have to buy and AC Adapter and an extra battery.

Cons....The USB Cable is too short and the camera and EOS Utility are far too sensitive to cable length......a longer cable is definitely needed. One battery is insufficient, after about 200 photos the battery is dead, the additional battery was cheap plus the AC Adapter was cheap.......What was Canon thinking by not including these with the camera?????"
2753189,12473471,4,True,B00N462AQE,I purchased this as a graduation gift.  The bundle was a good value but there seems to be a problem with the external flash unit not fitting the  hot shoe on camera body. I am trying to exhcange it and hoping for good outcome.  The camera itself is great so far.
2753190,12473472,5,False,B00N462AQE,Very pleased..delivered promptly..this was a gift for my son. Everything came in as advertised. Awesome products great delivery!!! My sn was ecstatic over this bundle!
2753191,12473473,4,True,B00N462AQE,Great kit for the price.
2753192,12473474,5,True,B00N462AQE,Bought this as a gift for my daughter.  She loves it.  Everything fits/works.  A great bargin when you consider all that was included.  I would highly recommend this for someone looking to get into digital photography!
2753193,12473475,4,True,B00N462AQE,"EXCELLENT CAMERA BRAND NEW , THE 18-55 AND 70-300 ARE CANON LENSES, THE TRIPOD IS A TOY TRIPOD, NOT GOOD QUALITY, THE TELEPHOTO AND MACRO GOOD QUALITY,THE FILTERS ARE GOOD QUALITY. THE BAG ITS VERY SIMPLE, THE FLASH ITS SIMPLE, THE MEMORIES THAT BOLTONS SENDS ISNT TRANSCEND, ARE GENERIC BRANDED, (ACCESORIES ARE ""BIG FOOT"" BRAND"","
2753194,12473476,5,True,B00N462AQE,Great customer service. Immediately fixed an issue I had with my tripod.
2753195,12473477,4,True,B00N462AQE,"Love the camera but the stuff that came in the ""package deal"" was crap."
2753196,12473478,3,True,B00N462AQE,"The camera has been fantastic! Takes excellent quality photos and videos.  Upon arrival of the package I knew right away there were many accessories I would not be using. The tripod is cheaply made but it does serve its purpose for still photos. If you are wanting a tripod for video, invest in a better tripod. One of the accessories I was looking forward to using was the filters. However, they were not in the box.. Not a huge deal but was a contributing factor to my 3 star rating.  The last issue I have been having is with the 32GB SD card.  I used it to shoot a large amount of video. The video could be viewed on the camera but as soon as I pull the SD card and put into a computer or other device I am prompted that the SD card needs to be formatted to be used. I'm a little tech savvy so I was able to recover the files using some data recovery software but, this is an additional step that I should not have to take. The 8GB SD card works well and other 32GB SD cards I have purchased work well. It seems to be an issue with that particular card.

To end on a positive..  The case that came in this bundle is just right for me.  It is not possible to fit all the accessories in it but it does a nice job of holding my camera with the kit lense and an additional lense. The front pocket is suitable for the battery and some small miscellaneous items. I use one of the side pockets to hold my SD card carrying case and the other side pocket to hold my lense cloth.

The camera is easily a 5 star purchase.  The accessories were all decent enough to use with the exception of the 32GB SD card and the missing filters."
2753197,12473479,5,True,B00N462AQE,Love it!!
2753198,12473480,5,True,B00N462AQE,this camera gives me soo much life. its gives my pictures professional quality and it is easy to use. the items in the bundle are all very useful. some I really don't know how to use yet but this is really worth the money.
2753199,12473481,5,True,B00N462AQE,Awesome camera! Highly recommend to anyone who is looking for a camera to buy this!
2753200,12473482,1,True,B00N462AQE,except camera and a tripod other Stuff like lense do not fit in it ... not a good option to buy.. they are making money.
2753201,12473483,2,True,B00N462AQE,"Camera and 18-135mm len are great. However, 4filters, angle len and the telephoto len are all for 58mm (for example, compatible for 18-55mm len), not for 67mm(18-135mm len). Looking for replacing the mistaken items. Thanks"
2753202,12473484,4,True,B00N462AQE,"Everything was great, except the tripod extra was really cheap material and broke on only the second use.  Still an excellent value for the package."
2753203,12473485,5,True,B00N462AQE,Canon Bundle has great tools to start. Excellent Value
2753204,12473486,5,True,B00N462AQE,Came with everything promised and fast shipping. Highly satisfied with my purchase!
2753205,12473487,5,True,B00N462AQE,GREAT
2753206,12473488,5,True,B00N462AQE,Totally enjoying it.. more in the package then expected!!
2753207,12473489,4,True,B00N462AQE,"I was happy with the accessories, in general.  But I was expecting a more robust tripod that could safely hold my camera with the telephoto lens attached."
